test_dataset,pretrained,few,shot,run,epoch,val_acc,test_acc,duration_sec,log_file
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,3,70,0.7160,0.7110,23.25,experiment_log_2025-09-21 06:36:13.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,4,63,0.7600,0.7200,22.70,experiment_log_2025-09-21 06:36:36.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,5,27,0.7180,0.7090,21.24,experiment_log_2025-09-21 06:36:57.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,1,178,0.8782,0.8782,38.45,experiment_log_2025-09-21 04:20:33.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,2,133,0.8653,0.8469,41.48,experiment_log_2025-09-21 04:21:14.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,3,65,0.8782,0.8708,40.81,experiment_log_2025-09-21 04:21:55.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,4,63,0.8690,0.8948,44.55,experiment_log_2025-09-21 04:22:40.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,5,136,0.8524,0.8635,41.95,experiment_log_2025-09-21 04:23:22.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,1,141,0.8708,0.8469,36.80,experiment_log_2025-09-21 04:23:58.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,2,47,0.8653,0.8745,41.03,experiment_log_2025-09-21 04:24:39.txt
